software	hardware
10.019703	9.67
10.038418	9.99
10.056146	10.04
10.072887	10.04
10.088643	10.04
10.103414	10.39
10.1172	10.52
10.130002	10.61
10.141821	10.42
10.152658	10.04
10.162513	9.7
10.171387	9.46
10.17928	9.43
10.186193	7.88
10.192128	5.66
10.197084	5.5
10.201062	5.48
10.204063	5.43
10.206088	3.14
10.207137	2.73
10.207211	2.63
10.206309	2.63
10.204434	1.93
10.201586	0.01
10.197765	-0.01
10.192973	-0.01
10.187209	-0.01
10.180475	-0.01
10.172771	-0.01
10.164098	-0.01
10.154456	-0.01
10.143847	-0.01
10.132269	-0.01
10.119725	-0.01
10.106215	-0.01
10.091741	-0.01
10.076301	-0.01
10.059897	-0.02
10.042531	-0.36
10.024201	-0.41
10.00491	-0.41
9.984658	-0.33
9.963445	-0.33
9.941272	-0.33
9.918112	-0.33
9.8939	-0.33
9.868631	-0.33
9.842305	-0.33
9.81492	-0.33
9.786477	-0.33
9.756974	-0.33
9.726433	-0.33
9.695165	-0.33
9.66301	-0.33
9.629878	-0.25
9.595773	0.07
9.560696	0.16
9.524649	0.16
9.487635	0.17
9.449656	0.23
9.410713	0.29
9.370811	1.23
9.329949	2.6
9.288132	3.31
9.24536	3.61
9.201637	3.6
9.156965	3.5
9.111345	3.4
9.06478	3.19
9.017273	2.84
8.968824	2.78
8.919437	2.45
8.869115	1.37
8.817858	0
8.765669	-0.01
8.71255	-0.01
8.658504	-0.01
8.603533	-0.01
8.547616	-0.01
8.490518	-0.01
8.432199	-0.01
8.372662	-0.01
8.311934	-0.01
8.25032	-0.01
8.187888	-0.01
8.12464	-0.01
8.060578	-0.01
7.995703	0
7.930016	0.04
7.86352	0.05
7.796215	0.05
7.728248	0.05
7.659703	0.05
7.590286	0.05
7.519975	0.05
7.448775	0.05
7.376686	0.05
7.303713	0.05
7.229856	0.05
7.155118	0.05
7.079502	0.05
7.00301	0.05
6.925646	0.05
6.847408	0.05
6.768302	-0.13
6.68833	-0.18
6.607494	-0.19
6.525795	-0.19
6.443237	-0.19
6.359822	-0.19
6.275551	-0.19
6.190428	-0.19
6.104454	-0.19
6.017633	-0.19
5.929966	-0.19
5.841454	-0.19
5.752102	-0.19
5.661912	-0.19
5.570884	-0.25
5.479022	-0.48
5.386328	-0.48
5.292804	-0.43
5.198452	-0.43
5.103274	-0.43
5.007274	-0.43
4.910453	-0.43
4.812813	-0.43
4.714356	-0.43
4.615086	-0.43
4.515002	-0.43
4.41411	-0.43
4.31241	-0.43
4.209904	-0.21
4.106595	0.02
4.002485	0.03
3.897576	0.03
3.79187	0.03
3.68537	0.03
3.578077	0.03
3.469994	0
3.361122	0
3.251466	0
3.141024	0
3.029802	0
2.9178	0
2.80502	0
2.691465	0
2.577137	0
2.462038	0
2.346169	0
2.229534	0
2.112134	0
1.993972	0
1.875049	0
1.755372	0
1.634944	0
1.513771	0
1.391856	0
1.269204	0
1.145818	0
1.021702	0
0.896861	0
0.771298	0
0.645018	0
0.518024	0
0.390321	0
0.261912	0
0.132801	0
0.002992	0
0	0
0.090536	-0.01
0.179971	-0.01
0.268307	-0.01
0.355546	-0.01
0.44169	-0.01
0.526741	-0.01
0.610701	-0.01
0.693572	-0.01
0.775356	-0.01
0.856054	-0.01
0.935669	-0.01
1.014203	-0.02
1.091658	-0.08
1.168035	-0.41
1.243336	-0.47
1.317564	-0.46
1.390721	-0.45
1.462807	-0.45
1.533826	-0.45
1.603779	-0.45
1.672667	-0.45
1.740494	-0.45
1.80726	-0.45
1.872968	-0.45
1.93762	-0.45
2.001217	-0.45
2.063761	-0.45
2.125255	-0.45
2.185699	-0.41
2.245097	-0.1
2.303449	0
2.360758	0
2.417026	0.01
2.472254	0.04
2.526444	0.07
2.579599	0.63
2.631719	0.71
2.682808	0.75
2.732865	0.75
2.781895	0.67
2.829898	0.46
2.876875	0.44
2.92283	0.39
2.967764	0.04
3.011678	0
3.054575	-0.01
3.096456	-0.01
3.137323	-0.01
3.177178	-0.01
3.216022	-0.01
3.253858	-0.01
3.290688	-0.01
3.326512	-0.01
3.361334	-0.01
3.395154	-0.01
3.427974	-0.01
3.459796	-0.01
3.490623	-0.01
3.520455	0
3.549295	0
3.577144	0.02
3.604004	0.02
3.629877	0.02
3.654764	0.02
3.678668	0.02
3.70159	0.02
3.723532	0.02
3.744495	0.02
3.764481	0.02
3.783492	0.02
3.801531	0.02
3.818598	0.02
3.834694	0.02
3.849823	0.02
3.863985	0.02
3.877183	-0.02
3.889418	-0.02
3.900691	-0.03
3.911005	-0.03
3.920362	-0.03
3.928762	-0.03
3.936207	-0.03
3.9427	-0.03
3.948242	-0.03
3.952834	-0.03
3.956479	-0.03
3.959183	-0.03
3.961021	-0.03
3.962012	-0.03
3.96215	-0.04
3.961433	-0.36
3.959855	-0.48
3.957393	-0.48
3.953966	-0.44
3.949571	-0.44
3.944207	-0.44
3.937875	-0.44
3.930575	-0.44
3.922309	-0.44
3.913076	-0.44
3.902878	-0.44
3.891715	-0.44
3.879588	-0.44
3.866448	-0.44
3.85225	-0.39
3.836987	-0.09
3.820549	0.01
3.802856	0.01
3.783904	0.02
3.76369	0.03
3.742214	0.04
3.71961	0.1
3.695974	0.18
3.671307	0.21
3.64563	0.16
3.619272	0
3.592117	0
3.564054	0
3.535083	0
3.505208	0
3.474429	0
3.442749	0
3.410169	0
3.376692	0
3.342318	0
3.30705	0
3.27089	0
3.233839	0
3.195887	0
3.156852	0
3.116828	0
3.075836	0.01
3.033879	0.01
2.99096	0.01
2.947081	0.01
2.902244	0.01
2.856454	0.01
2.80971	0.01
2.762017	0.01
2.713376	0.01
2.663792	0.01
2.613264	0.01
2.561798	0.01
2.509394	0.01
2.456056	0.01
2.401786	0.01
2.346586	0.01
2.290459	0
2.233407	-0.01
2.175434	-0.01
2.11654	-0.01
2.05673	-0.01
1.996004	-0.01
1.934367	-0.01
1.87182	-0.01
1.808365	-0.01
1.744005	-0.01
1.678743	-0.01
1.61258	-0.01
1.54552	-0.01
1.477565	-0.01
1.408716	-0.01
1.338978	-0.03
1.268351	-0.15
1.196838	-0.46
